,,,,,Instrument Type ,Instrument Name ,Symbol ,Ser/Exp ,Strike Price ,Option Type ,Scrip Name ,Buy Qty ,Buy Lot ,Buy Weight ,Buy Val ,Buy Avg. ,Sell Qty ,Sell Lot ,Sell Weight ,Sell Val ,Sell Avg. ,Net Qty ,Net Lot ,Net Weight ,Net Val  ,Net Price ,Market Price ,MTMV Pos  ,MTM G/L  ,,,DPR Range ,Maturity Date ,Yield ,Total Value ,Total Quantity ,Total Lot ,Total Weight ,Brokerage ,Net MTM ,,Option Flag ,VAR % ,VAR Amount ,SM Category ,CF Avg Price ,Actual MTM P&L ,Unsettled Quantity ,ISIN Code ,Spot Price
,,,,,Options ,OPTSTK ,ADANIENT ,31AUG2023 ,2650,CE ,ADANIENT23AUG2650CE ,600,2, ,65730,109.55,600,2, ,66600,111, , , ,870, ,0.1,0,870,,,0.05 - 47.50 , , ,132330,1200,4, ,NA ,870,,OTM , , , , , , , ,9001300
,,,,,Futures ,FUTIDX ,BANKNIFTY ,31AUG2023 , , ,BANKNIFTY23AUGFUT ,240,16, ,10615728,44232.2,240,16, ,10615728,44232.2, , , ,0, ,43998.95,0,0,,,39809.00 - 48655.45 , , ,21231456,480,32, ,NA ,0,,NA , , , , , , , ,44052.8
,,,,,Futures ,FUTIDX ,BANKNIFTY ,26OCT2023 , , ,BANKNIFTY23OCTFUT ,1155,77, ,51548526,44630.76,1095,73, ,48931816.5,44686.59,60,4, ,-2616709.5,43611.82,44620.35,2677221,60511.5,,,40271.65 - 49220.90 , , ,100480342.5,2250,150, ,NA ,60511.5,,NA , , , , , , , ,44052.8
,,,,,Futures ,FUTIDX ,BANKNIFTY ,28SEP2023 , , ,BANKNIFTY23SEPFUT ,1170,78, ,52058788.5,44494.69,795,53, ,35378613,44501.4,375,25, ,-16680175.5,44480.47,44350,16633012.5,-47163,,,40051.30 - 48951.55 , , ,87437401.5,1965,131, ,NA ,-47163,,NA , , , , , , , ,44052.8
,,,,,Options ,OPTIDX ,BANKNIFTY ,31AUG2023 ,42700,PE ,BANKNIFTY23AUG42700PE ,1950,130, ,36832.5,18.89,1950,130, ,54244.5,27.82, , , ,17412, ,1.25,0,17412,,,0.05 - 25.45 , , ,91077,3900,260, ,NA ,17412,,OTM , , , , , , , ,44052.8
,,,,,Options ,OPTIDX ,BANKNIFTY ,31AUG2023 ,44300,CE ,BANKNIFTY23AUG44300CE ,90,6, ,29434.5,327.05,90,6, ,31657.5,351.75, , , ,2223, ,7.8,0,2223,,,0.05 - 960.00 , , ,61092,180,12, ,NA ,2223,,OTM , , , , , , , ,44052.8
,,,,,Options ,OPTIDX ,BANKNIFTY ,07SEP2023 ,41000,PE ,BANKNIFTY2390741000PE ,1500,100, ,9386.25,6.26, , , , , ,1500,100, ,-9386.25,6.26,6.65,9825,438.75,,,0.05 - 53.90 , , ,9386.25,1500,100, ,NA ,438.75,,OTM , , , , , , , ,44052.8
,,,,,Options ,OPTIDX ,BANKNIFTY ,07SEP2023 ,45600,CE ,BANKNIFTY2390745600CE ,600,40, ,15960,26.6,960,64, ,26411.25,27.51,-360,-24, ,10451.25,29.03,17.1,-6012,4439.25,,,0.05 - 347.70 , , ,42371.25,1560,104, ,NA ,4439.25,,OTM , , , , , , , ,44052.8
,,,,,Options ,OPTIDX ,BANKNIFTY ,31AUG2023 ,44000,CE ,BANKNIFTY23AUG44000CE ,75,5, ,27225,363,75,5, ,74973.75,999.65, , , ,47748.75, ,63,0,47748.75,,,0.05 - 1593.60 , , ,102198.75,150,10, ,NA ,47748.75,,ITM , , , , , , , ,44052.8
,,,,,Options ,OPTIDX ,BANKNIFTY ,07SEP2023 ,42600,PE ,BANKNIFTY2390742600PE ,750,50, ,10762.5,14.35,750,50, ,16125,21.5, , , ,5362.5, ,21.85,0,5362.5,,,0.05 - 293.90 , , ,26887.5,1500,100, ,NA ,5362.5,,OTM , , , , , , , ,44052.8
,,,,,Options ,OPTIDX ,BANKNIFTY ,14SEP2023 ,46500,CE ,BANKNIFTY2391446500CE , , , , , ,450,30, ,9241.5,20.54,-450,-30, ,9241.5,20.54,17.25,-7762.5,1479,,,0.05 - 267.50 , , ,9241.5,450,30, ,NA ,1479,,OTM , , , , , , , ,44052.8
,,,,,Options ,OPTIDX ,BANKNIFTY ,07SEP2023 ,46500,CE ,BANKNIFTY2390746500CE ,450,30, ,4545,10.1, , , , , ,450,30, ,-4545,10.1,7.6,3375,-1170,,,0.05 - 114.50 , , ,4545,450,30, ,NA ,-1170,,OTM , , , , , , , ,44052.8
,,,,,Options ,OPTIDX ,BANKNIFTY ,31AUG2023 ,46500,CE ,BANKNIFTY23AUG46500CE ,1050,70, ,8122.5,7.74,1050,70, ,5880,5.6, , , ,-2242.5, ,0.7,0,-2242.5,,,0.05 - 6.20 , , ,14002.5,2100,140, ,NA ,-2242.5,,OTM , , , , , , , ,44052.8
,,,,,Options ,OPTIDX ,BANKNIFTY ,07SEP2023 ,45200,CE ,BANKNIFTY2390745200CE ,975,65, ,88699.5,90.97,1200,80, ,75215.25,62.68,-225,-15, ,-13484.25,59.93,30.85,-6806.25,-20290.5,,,0.05 - 530.50 , , ,163914.75,2175,145, ,NA ,-20290.5,,OTM , , , , , , , ,44052.8
,,,,,Options ,OPTIDX ,BANKNIFTY ,28SEP2023 ,46500,CE ,BANKNIFTY23SEP46500CE , , , , , ,150,10, ,7194,47.96,-150,-10, ,7194,47.96,53,-7927.5,-733.5,,,0.05 - 486.60 , , ,7194,150,10, ,NA ,-733.5,,OTM , , , , , , , ,44052.8
,,,,,Options ,OPTIDX ,BANKNIFTY ,31AUG2023 ,44600,PE ,BANKNIFTY23AUG44600PE ,525,35, ,198552.75,378.2,525,35, ,206356.5,393.06, , , ,7803.75, ,603.75,0,7803.75,,,0.05 - 2098.90 , , ,404909.25,1050,70, ,NA ,7803.75,,ITM , , , , , , , ,44052.8
,,,,,Options ,OPTIDX ,BANKNIFTY ,31AUG2023 ,41500,PE ,BANKNIFTY23AUG41500PE ,1650,110, ,13965,8.46,1650,110, ,4830,2.93, , , ,-9135, ,0.85,0,-9135,,,0.05 - 10.65 , , ,18795,3300,220, ,NA ,-9135,,OTM , , , , , , , ,44052.8
,,,,,Options ,OPTIDX ,BANKNIFTY ,07SEP2023 ,45700,CE ,BANKNIFTY2390745700CE ,1650,110, ,35790,21.69,3450,230, ,80627.25,23.37,-1800,-120, ,44837.25,24.91,14.9,-26010,18827.25,,,0.05 - 310.95 , , ,116417.25,5100,340, ,NA ,18827.25,,OTM , , , , , , , ,44052.8
,,,,,Options ,OPTIDX ,BANKNIFTY ,07SEP2023 ,44200,PE ,BANKNIFTY2390744200PE ,2100,140, ,431772,205.61,2100,140, ,542259.75,258.22, , , ,110487.75, ,296.3,0,110487.75,,,0.05 - 1379.30 , , ,974031.75,4200,280, ,NA ,110487.75,,ITM , , , , , , , ,44052.8
,,,,,Options ,OPTIDX ,BANKNIFTY ,31AUG2023 ,44300,PE ,BANKNIFTY23AUG44300PE ,960,64, ,210163.5,218.92,960,64, ,98052.75,102.14, , , ,-112110.75, ,306.75,0,-112110.75,,,0.05 - 1730.15 , , ,308216.25,1920,128, ,NA ,-112110.75,,ITM , , , , , , , ,44052.8
,,,,,Options ,OPTIDX ,BANKNIFTY ,07SEP2023 ,44200,CE ,BANKNIFTY2390744200CE ,90,6, ,32633.25,362.59,270,18, ,96171.75,356.19,-180,-12, ,63538.5,352.99,273.7,-49212,14326.5,,,0.05 - 1369.80 , , ,128805,360,24, ,NA ,14326.5,,OTM , , , , , , , ,44052.8
,,,,,Options ,OPTIDX ,BANKNIFTY ,31AUG2023 ,45900,CE ,BANKNIFTY23AUG45900CE ,2175,145, ,16548.75,7.61,2175,145, ,38583,17.74, , , ,22034.25, ,1.4,0,22034.25,,,0.05 - 6.95 , , ,55131.75,4350,290, ,NA ,22034.25,,OTM , , , , , , , ,44052.8
